 Iter;  Train score;    Remaining;                           Monitor Output 
    1;      0.3495;    11620.81;      C:      0.2464 B:      0.2464 S:  0
    2;      0.4063;    11929.06;      C:      0.2509 B:      0.2509 S:  0
    3;      0.4234;    11938.54;      C:      0.2221 B:      0.2509 S:  1
    4;      0.4431;    11957.95;      C:      0.2325 B:      0.2509 S:  2
    5;      0.4458;    11990.80;      C:      0.2502 B:      0.2509 S:  3
    6;      0.4482;    12014.72;      C:      0.2597 B:      0.2597 S:  0
    7;      0.4531;    11999.11;      C:      0.2644 B:      0.2644 S:  0
    8;      0.4570;    12004.41;      C:      0.2657 B:      0.2657 S:  0
    9;      0.4607;    12016.63;      C:      0.2723 B:      0.2723 S:  0
   10;      0.4653;    12035.08;      C:      0.2789 B:      0.2789 S:  0
   15;      0.4762;    12026.24;      C:      0.3149 B:      0.3149 S:  0
   20;      0.4813;    11998.93;      C:      0.3594 B:      0.3594 S:  0
   25;      0.4842;    11964.68;      C:      0.3701 B:      0.3701 S:  0
   30;      0.4867;    11900.58;      C:      0.3740 B:      0.3740 S:  0
   35;      0.4888;    11876.66;      C:      0.3780 B:      0.3780 S:  0
   40;      0.4908;    11806.55;      C:      0.3846 B:      0.3846 S:  0
   45;      0.4924;    11772.32;      C:      0.3867 B:      0.3870 S:  2
   50;      0.4938;    11743.38;      C:      0.3950 B:      0.3950 S:  0
   60;      0.4975;    11656.14;      C:      0.4017 B:      0.4017 S:  0
   70;      0.5014;    11581.14;      C:      0.4073 B:      0.4079 S:  1
   80;      0.5047;    11498.60;      C:      0.4125 B:      0.4125 S:  0
   90;      0.5089;    11411.35;      C:      0.4187 B:      0.4187 S:  0
  100;      0.5123;    11331.58;      C:      0.4229 B:      0.4229 S:  0
  120;      0.5194;    11185.00;      C:      0.4321 B:      0.4321 S:  0
  140;      0.5258;    11043.55;      C:      0.4390 B:      0.4390 S:  0
  160;      0.5326;    10888.20;      C:      0.4453 B:      0.4453 S:  0
  180;      0.5391;    10645.60;      C:      0.4525 B:      0.4526 S:  1
  200;      0.5452;    10347.09;      C:      0.4560 B:      0.4560 S:  0
  220;      0.5509;    10074.96;      C:      0.4608 B:      0.4608 S:  0
  240;      0.5563;     9828.52;      C:      0.4638 B:      0.4651 S:  5
  260;      0.5618;     9598.83;      C:      0.4680 B:      0.4680 S:  0
  280;      0.5666;     9383.21;      C:      0.4712 B:      0.4712 S:  0
  300;      0.5710;     9180.77;      C:      0.4749 B:      0.4751 S:  1
  320;      0.5754;     8980.98;      C:      0.4764 B:      0.4769 S:  2
