seed,epoch,loss
1555582972,0,6.696632353088866
1555582972,5,4.064920242453039
1555582972,10,0.931630750986339
1555582972,15,0.7953128993315028
1555582972,20,0.7830422633397893
1555582972,25,0.7691358722096262
1555582972,30,0.7900600517009088
1555582972,35,0.7649968223671999
1555582972,40,0.780245332048593
1555582972,45,0.7395453152265032
1555582972,50,0.7572627679032431
1555582972,55,0.7378647418217316
1555582972,60,0.7505387053699072
1555582972,65,0.7990482993785474
1555582972,70,0.8106584341957648
1555582972,75,0.813679718990673
1555582972,80,0.812691109751926
1555582972,85,0.7851103995427825
1555582972,90,0.7742232464025597
1555582972,95,0.7805781591007778
1555582972,100,0.7531116363057306
1555582972,105,0.793603267398552
1555582972,110,0.7781569510083037
1555582972,115,0.7406433237333431
1555582972,120,0.7997757747704545
1555582972,125,0.7693657898887472
1555582972,130,0.8106270562770609
1555582972,135,0.7731079304907009
1555582972,140,0.7719439461581279
1555582972,145,0.7850964967881837
1555582972,150,0.7840706387996107
1555582972,155,0.770222600213684
1555582972,160,0.7805505864308372
1555582972,165,0.7987083028079272
1555582972,170,0.8101147277158016
1555582972,175,0.7944550951904732
1555582972,180,0.7614228252493599
1555582972,185,0.7961017216416525
1555582972,190,0.7894440663161041
1555582972,195,0.7842826538134173
1555582972,200,0.783014945542237
1555582972,205,0.7523315600354726
1555582972,210,0.7991230302942829
1555582972,215,0.7866679895283466
1555582972,220,0.7800854045367169
1555582972,225,0.8032336078735886
1555582972,230,0.7774020449506788
1555582972,235,0.7520394610097989
1555582972,240,0.7753106147233745
1555582972,245,0.7839133672230832
1555582972,249,0.7742091545590747
1555583004,0,6.8625789913409525
1555583004,5,4.202858841988237
1555583004,10,0.95928180275039
1555583004,15,0.8075338933413868
1555583004,20,0.8167780830973913
1555583004,25,0.8414369242822802
1555583004,30,0.7505197512221538
1555583004,35,0.800207388341919
1555583004,40,0.820968129777705
1555583004,45,0.8243957588593775
1555583004,50,0.8113937105923581
1555583004,55,0.834691399389385
1555583004,60,0.8057458947748117
